appid,publisher_id
57300,14277
609320,3201
1113560,37393
699130,34719
1940340,32997
285920,30228
268050,4616
16900,25688
1432860,30876
274520,1270
283640,36273
2334730,32897
756800,31107
2000950,1298
1388770,8111
2448970,26126
1127400,2635
1102190,16165
42910,30027
955900,14899
544920,35100
1335200,18989
1449690,36380
1040200,31532
1040200,31107
527430,27481
1677280,33236
567640,37257
813230,4758
622650,20236
24010,10944
24010,10941
2679460,34385
962730,11697
303210,12679
736260,17504
1044720,8427
410900,11672
341940,10249
312990,10324
418530,26543
249130,43474
736220,28906
220440,6729
2221490,41792
204450,39644
434650,27494
1659420,31100
1343370,19772
2322010,31100
601430,4616
1401590,15246
492720,21048
690830,31344
221640,39826
682990,26603
297000,41794
1985810,1298
2012840,27162
979690,8841
269950,22350
1161580,13927
1280770,34137
918570,31168
2707900,29718
429050,16434
447820,27699
1466640,10000
437220,44466
47870,11960
707010,2065
2001120,11960
424280,36677
2141910,44084
235600,41792
2290180,41794
673950,25866
1421250,34783
2198150,31480
943700,33110
667970,5647
1433140,16675
1213740,22029
2313250,41174
1178490,15725
1178490,15269
1222690,11960
1307550,31229
2248760,32959
1158160,18134
427290,13927
1029690,32918
1397920,31155
445980,8119
445980,18134
590380,38313
246900,34169
858820,15502
1258080,20962
248570,27810
1929610,7703
641320,4681
641320,31107
311560,41792
239160,11876
239160,13390
391460,28417
606880,13927
706990,36343
355180,32675
489940,3875
323850,40439
337340,14240
392110,34385
362680,21421
302670,10530
509980,8896
894020,10324
374040,505
780310,11640
780310,38562
359870,37393
557600,2511
323470,3686
1350650,29260
512900,47855
858810,24408
1949740,7866
1604000,27960
670290,31384
2622000,27648
692890,34256
692890,37534
40970,13566
330020,99
2142790,27131
1451190,10000
719040,46572
201870,41792
233270,41792
1283700,40346
1490890,34385
1880330,15269
2325290,47813
1568400,26682
481510,13532
42960,30027
2495980,23334
365450,13359
406150,10801
2943650,3963
985890,10889
367450,11276
2878980,267
834530,34385
544730,41772
464920,30027
291650,44472
627270,43219
55150,33236
292730,1298
1601580,99
763890,44243
763890,43755
1046030,7782
1055540,45555
2828860,14482
241600,7056
1583230,37392
2141730,41288
1361320,13595
997010,45643
578310,10215
233130,10324
895870,35330
895870,18134
1599600,44855
1599600,15281
241540,44472
350080,4616
1458140,21299
980610,38625
1286680,267
394690,30925
299360,40801
1012880,33748
300,42461
251060,12610
681280,28104
626690,3686
1182900,13927
812810,2425
606150,99
866800,36380
1520370,34945
356670,22324
1082430,36380
1999360,47891
210970,40333
1761390,34385
259080,37393
2225070,41792
212070,14982
1543030,8753
1543030,36786
368340,9962
368340,43755
368340,9035
368340,25221
368260,267
1275670,10737
729040,267
1592190,37976
814540,11038
453480,8943
453480,8942
1296610,33018
1296610,18915
383080,43983
1371580,18787
2138710,36501
2138710,21299
1029780,26932
1974050,44352
1623660,43657
385800,35367
1533420,2511
1496790,43472
2420110,31100
973760,6353
1435790,30691
627690,7852
991780,49845
2515020,37393
292120,37393
1002300,17166
1985690,38299
239350,26543
282800,14421
1766740,41590
605740,12756
1934680,44472
1238000,11960
521890,47855
330830,267
298630,39587
208480,41792
289130,34385
954740,33159
38400,4616
488860,14792
221680,41792
368070,6416
1954200,12090
859570,47855
257850,17373
270150,29429
1536610,29239
559650,4166
257420,10324
388410,38924
248390,5016
429660,3686
250400,505
228280,4292
503560,15307
115300,1298
42680,1298
236090,44472
1569040,34385
428690,41756
617670,32128
1170880,46343
405640,9498
977880,7532
451340,7812
451340,31107
1341290,41057
1928980,19037
960910,32048
536220,36380
1169040,13084
463530,17940
463530,36517
560130,42635
560130,28781
71250,34385
1262240,11960
65980,267
65980,3195
65980,3194
1239690,33463
548570,4616
1216710,2111
1253920,7056
216150,27750
1180660,44472
774861,29441
611790,11824
40700,2129
250760,44694
1637320,32763
242680,43039
961200,29037
233720,19041
553420,13532
301640,32918
235540,13280
738520,18221
738520,33093
1746030,28657
1746030,27128
498240,39714
388090,35163
397950,47855
2427700,31108
2427700,18915
285190,33236
285190,13390
285190,13389
969990,38924
1113120,21145
237990,37824
232430,14467
601840,21575
219890,10140
402710,13375
2365810,47507
341800,37660
1789480,39587
1267910,19772
313340,9773
293760,6680
629820,41342
329050,6313
1887840,1548
1515210,34205
2005010,13927
775500,3686
313160,15763
39000,26988
851100,43315
851100,29724
311310,4570
746850,18445
746850,24708
1016920,9339
1061910,14510
865360,41057
265300,6416
760060,14510
1302240,42442
1669000,30027
335670,35459
288470,44472
201790,33746
1017900,44472
339610,19634
1173370,28867
780290,41527
1233570,11960
1504570,1239
1815780,15246
1121910,20821
875210,41771
915320,43155
669330,15098
914620,10549
927380,34385
597820,38924
265550,6729
264200,36036
872790,34385
731490,1298
311340,20894
1150440,13927
1390350,35065
986130,13599
2768430,21509
493900,21048
965200,1742
270550,3539
3274300,47966
2600,1298
2252570,34385
996580,1298
332310,43474
858210,30953
246420,19337
391720,5244
287450,44472
1672970,44472
1129190,14717
872410,20886
278360,7887
1318690,47864
1318690,10958
2384580,20886
448510,39589
38410,4616
861650,27189
2121360,48912
342200,30758
2305790,20684
445220,5668
320300,31107
2784840,21686
1681430,27189
921570,37393
411300,38924
351640,34910
1029550,16350
1782120,26208
344760,7859
1301720,4912
2181930,1523
361280,15387
1556790,5066
1147690,467
1850740,33283
1361510,10889
1361510,15269
1465460,15307
1139980,19398
1139980,18915
389570,14205
256290,41792
2437170,17640
882790,49361
2027330,14647
743450,44484
743450,40439
1382330,34385
2519060,1298
2167580,7990
2537590,44472
1574580,18561
209170,1298
209160,1298
418030,7938
287980,10588
1201240,20874
232890,13566
712100,34385
712100,13390
712100,13389
437920,43632
732690,35175
990630,17482
1238820,11960
2232840,12620
21120,43472
21120,43474
2646460,32015
393080,1298
2103140,45726
314650,8295
1049800,28417
456750,13595
2780980,26036
1481400,4885
1563180,7257
462780,38924
1162520,34533
589780,10324
244160,15502
244160,3195
878750,15834
2666510,26106
1629520,35319
317360,10893
350640,14329
1056960,4616
936790,37393
278080,20886
65800,7496
2909400,37393
424030,6673
233290,37393
1063660,20236
473690,10324
773951,20860
1548850,42729
212480,34385
394310,47855
39120,46320
48240,41792
2651280,31100
1353230,39525
792220,21781
1488200,46577
1559390,49361
362490,4140
65540,38924
1016800,40002
602520,35367
469600,3452
1061090,27747
1577120,268
1566690,22912
333420,14894
2933620,1298
2071280,27189
1126320,10968
203290,41686
386070,31022
1188930,1679
228200,34385
415200,34385
1277400,6313
224760,41150
1182620,14240
911400,41794
389430,27154
1611600,12610
420110,35367
2772750,48264
690640,14414
698670,21299
48720,39166
1475810,4616
290340,22557
835960,10324
223100,10000
826630,31566
778700,36633
1105670,27189
1105670,39910
1105670,15269
1105670,9035
1333350,35645
1526490,44878
885970,34385
39510,38924
1229380,13986
1229380,38562
320240,15502
442080,42211
732430,16527
242720,24937
1164940,39587
2064650,30358
206500,6780
607080,44472
330840,39715
1377580,16750
495890,44
847370,44472
700600,32918
382310,37918
209660,1298
209650,1298
606280,38924
506610,35163
232770,34182
2114740,39587
1424330,35319
2725260,4789
529180,36635
1525700,42092
1525700,43755
1338770,6416
294860,34385
204340,10324
1971650,37393
1605220,14510
1605220,35800
1128920,32318
1283410,42005
400910,8467
1812450,10827
1812450,36635
769560,15749
234670,3686
784080,30758
368360,33748
253250,9
228300,6729
1190970,14395
1647160,8260
306020,28027
2488620,11960
410340,23552
315210,43472
909080,34205
1369320,9280
589870,22870
1522820,33746
673880,21145
1030210,2801
215080,2500
813630,38553
332570,13292
1170950,37507
329110,505
593600,36635
799600,43394
950670,38924
688420,32763
2608050,41174
3107330,16019
268650,5904
225260,10906
1676840,8841
1276790,33598
206190,38591
2291760,13781
204880,37542
280160,23005
867210,7887
282900,18595
282900,18326
377840,37393
300380,41343
973580,6416
311730,20886
610370,38924
846770,97
666220,42073
681660,27021
914800,40850
1161770,10191
45760,6729
1328660,11960
1611910,14348
1238060,11960
631510,6313
1674170,17042
809960,5614
2634950,15604
428550,29724
1331550,18069
1377380,19732
555220,33066
555220,853
3244220,47524
3244220,11230
365300,35382
418340,33981
238430,26321
1128000,30629
528230,13824
528230,43755
409160,8665
1195460,41908
1115690,28104
714120,21421
1385380,30027
1385380,30026
1671200,6462
861540,39826
792300,18691
329430,44472
1938010,11960
245620,21049
872670,1500
2415010,41599
2429860,20984
362930,25692
537800,8841
707030,34182
237310,20890
1244090,34726
496300,32763
2163330,3539
2171440,26050
2162800,47864
2162800,15269
1749630,23529
339340,6313
320,42461
2808930,31225
464060,10324
1571440,24663
423230,40022
1785150,32763
333640,21527
1214280,31797
399810,13927
1137460,29806
115320,1298
242700,43474
764790,10324
1114150,6770
214340,9339
702670,2511
397340,20632
362960,30027
396750,32318
1361000,32746
1285670,44608
47410,13566
1147550,47855
1286350,3533
1404850,41132
1239080,21403
375950,18542
552620,3344
211400,44472
613830,37393
234650,30027
222480,6729
13520,41792
2239550,41792
2795000,41768
249050,34385
388880,27905
1463120,41932
891040,31384
273350,267
2157110,38405
429790,3096
874260,9923
710920,38924
2513280,34385
1034140,37966
446800,16165
1012790,6442
790740,29444
1259980,25852
952860,49761
