appid,developer_id
1127400,3291
1102190,43473
42910,3740
955900,18086
544920,42591
1335200,27868
1449690,44136
1040200,38326
527430,33575
1677280,40308
567640,45150
813230,5850
622650,24504
24010,13444
2679460,1159
962730,14313
303210,15577
736260,21093
1044720,10337
410900,14290
341940,12601
312990,17348
418530,32480
418530,6370
249130,49870
736220,35238
220440,34261
2221490,50607
204450,48077
434650,21886
1659420,33405
1659420,23164
1343370,23759
2322010,42410
2322010,24325
601430,47495
1401590,18485
492720,28038
492720,39907
690830,38119
221640,48278
682990,7638
297000,13376
1985810,49941
1985810,39725
1985810,21318
1985810,5352
1985810,1443
1985810,44211
736590,13570
2012840,27999
979690,33594
269950,27262
1161580,6205
1280770,41408
918570,37914
2707900,36189
429050,35299
447820,33809
1466640,12938
437220,53681
47870,10538
707010,2479
2001120,20897
424280,44479
2141910,53258
235600,50646
2290180,50612
2290180,50613
2290180,50624
2290180,50637
2290180,50633
673950,31678
1421250,42176
2198150,38263
943700,40159
667970,6861
1433140,46485
1213740,26915
2313250,49871
1178490,19034
1222690,5905
1307550,37986
2248760,39986
1158160,45402
427290,11251
1029690,39934
1397920,37900
445980,9968
590380,46407
246900,41448
858820,34584
1258080,25560
248570,33195
1929610,9458
641320,5737
311560,50645
311560,50623
239160,14541
239160,16402
391460,34704
606880,45140
706990,44089
355180,39645
489940,4732
323850,53701
323850,48990
337340,17362
392110,1023
362680,26186
302670,12930
509980,10876
894020,1402
374040,25910
780310,14254
359870,45310
557600,7530
323470,11185
1350650,35656
512900,30605
858810,29740
1949740,9634
1604000,34150
670290,38164
2622000,41972
692890,41577
40970,16604
330020,12163
2142790,33137
1451190,45622
719040,56194
201870,50628
233270,50628
1283700,48852
1490890,10863
1880330,43494
2325290,57618
1568400,32645
481510,22812
42960,36547
2495980,28475
365450,47767
406150,13262
2943650,4843
985890,13376
985890,20041
985890,28313
367450,13825
2878980,51956
834530,41581
544730,9436
464920,20449
464920,1334
291650,35104
627270,33696
627270,38819
55150,40308
292730,22850
1601580,101
763890,53437
1046030,9544
1046030,19955
1046030,45392
374280,1317
1055540,55022
2828860,17639
241600,8591
1583230,45309
2141730,50008
1361320,16638
997010,1659
578310,12564
233130,16977
895870,42886
1599600,23308
241540,50766
350080,29600
1458140,23204
980610,46789
1286680,18751
394690,37640
299360,49414
299360,3848
1012880,40942
300,51378
251060,15484
681280,39435
626690,11185
1182900,3964
812810,3005
606150,12902
866800,48158
1520370,42409
356670,27229
1082430,19547
1999360,57717
210970,48836
1761390,41715
259080,4303
2225070,33209
212070,45436
1543030,44595
368340,39371
368260,16584
1275670,13183
729040,18751
729040,6351
1592190,46015
814540,13543
453480,10935
1296610,40052
383080,53151
1371580,3004
2138710,44287
1029780,17211
1974050,53560
1623660,52754
385800,33000
1533420,2995
1496790,52546
1496790,38819
2420110,20054
2420110,34323
973760,7739
1435790,37383
627690,9620
991780,60109
2515020,45310
292120,45310
1002300,31891
1985690,46391
239350,32480
282800,35691
1766740,50375
605740,34204
1934680,53427
1934680,17089
1934680,47511
1934680,8213
1934680,51924
1238000,5905
521890,14034
330830,48158
298630,32522
208480,50628
289130,1023
954740,48319
38400,23052
488860,17987
221680,50610
221680,50609
368070,7803
1954200,14824
859570,21511
859570,14480
257850,20948
270150,35856
1536610,35635
559650,5081
257420,10585
388410,20131
388410,51721
388410,47133
248390,12367
429660,4544
250400,14568
228280,5236
503560,25267
115300,22850
115300,44211
42680,22850
42680,44211
236090,21838
1569040,45260
428690,50569
617670,38999
1170880,55929
405640,11609
977880,37710
451340,9580
1341290,49747
1928980,22855
960910,38903
536220,48158
1169040,16058
463530,44303
560130,35104
71250,41715
1262240,38175
65980,16584
65980,3973
65980,3972
1239690,40562
548570,56142
548570,4303
1216710,2535
1253920,8591
216150,33031
1180660,11251
774861,35868
611790,14474
40700,2567
250760,53940
1637320,5922
242680,52066
961200,35407
233720,6831
553420,47285
301640,39934
235540,16276
738520,40142
1746030,34965
498240,48157
388090,42660
397950,27286
2427700,37849
285190,40308
285190,16402
285190,16401
969990,38709
1113120,7474
237990,45842
232430,17622
601840,26366
219890,2195
402710,16387
2365810,57249
341800,45623
1789480,44321
1267910,18551
313340,12008
293760,8127
629820,50074
329050,7693
1887840,1738
1515210,41499
2005010,4235
775500,4544
313160,19080
39000,51874
39000,3712
851100,47820
851100,52372
311310,5600
746850,22197
1016920,22774
1061910,48595
343780,8429
865360,49747
265300,7803
265300,12251
760060,48382
1302240,51359
1669000,50099
335670,12988
288470,28152
201790,40940
1017900,17089
1017900,47510
339610,23561
1173370,35198
780290,16749
780290,42103
1233570,11169
1504570,1360
1815780,18485
1121910,38596
875210,50584
915320,52208
669330,18331
914620,12959
927380,41581
597820,15726
265550,8179
264200,43732
872790,45260
731490,51649
731490,23163
311340,25475
1150440,49271
1390350,42555
986130,9735
2768430,26294
493900,39907
965200,2017
270550,4376
3274300,57799
2600,50109
2252570,45260
996580,49815
996580,23164
332310,47273
332310,49870
858210,8969
246420,23199
391720,6403
287450,44119
287450,5765
1672970,32121
1672970,58187
1129190,17914
872410,25466
278360,19491
1318690,49449
2384580,25466
448510,19016
38410,6115
861650,55451
2121360,58973
342200,37456
2305790,25218
445220,6882
320300,40011
2784840,26489
1681430,48319
921570,45310
921570,864
411300,37454
